,name,price_in_NGN,country,mileage_in_km
386,Lexus ES 2007 350 Black,"4,680,000",Foreign Used,131510
387,Lexus ES 2011 black,"5,500,000",70445 km,n/a
388,Lexus IS 2009 250 Gray,"4,200,000",Foreign Used,156800
389,Lexus IS 250 2008 Black,"4,680,000",Foreign Used,161060
390,Lexus ES 2011 black,"5,500,000",70445 km,n/a
391,Lexus ES 2002 Silver,"2,496,000",Nigerian Used,125060
392,Lexus ES 350 2007 Gray,"4,200,000",Foreign Used,182057
393,Lexus LX 2002 Gold,"3,150,000",Nigerian Used,213165
394,Lexus IS 2006 Silver,"2,835,000",Nigerian Used,466356
395,Lexus RX 400h 2006 Blue,"3,150,000",Nigerian Used,88003
396,Lexus RX 350 2015 Blue,"10,500,000",Foreign Used,40837
397,Lexus ES 350 2008 Gray,"3,360,000",Nigerian Used,90534
398,Lexus ES 2004 Silver,"2,600,000",Nigerian Used,220223
399,Lexus GS 2007 Blue,"2,625,000",Nigerian Used,168422
400,Lexus IS 2010,"2,922,000",184611 km,n/a
401,Lexus IS 2009 250 4WD Silver,"3,432,000",Nigerian Used,168106
402,Lexus IS 250 2008 Black,"3,640,000",Nigerian Used,145662
403,Lexus GX 470 2004 White,"3,360,000",Nigerian Used,121981
404,Lexus RX 350 2008 Silver,"3,848,000",Nigerian Used,175395
405,Lexus RX 350 2012 Gray,"8,320,000",Nigerian Used,128484
406,Lexus RX 350 2007 White,"3,952,000",Nigerian Used,123673
407,Lexus ES 2005 330 Black,"3,150,000",Foreign Used,123282
408,Lexus RX 350 2007 Black,"4,576,000",Nigerian Used,103230
409,Lexus ES 2006 330 Silver,"3,016,000",Nigerian Used,119248
410,Lexus GS 2006,"4,042,000",86551 km,n/a
411,Lexus ES 350 2011 Silver,"5,200,000",Nigerian Used,98718
412,Lexus RX 400h AWD 2006 Gray,"3,952,000",Nigerian Used,63728
413,Lexus IS 2014 silver,"8,970,000",42433 km,n/a
414,Lexus RX 2006 400h Gold,"3,255,000",Nigerian Used,241518
415,Lexus ES 2014 Gray,"7,875,000",Nigerian Used,80791
416,Lexus ES 300 2003 Ivory,"2,600,000",Nigerian Used,213419
417,Lexus GS 300 Automatic 2006 Gold,"3,675,000",Foreign Used,292621
418,Lexus RX 2010 450h Black,"6,760,000",Nigerian Used,114626
419,Lexus LS 2008 460 L RWD Black,"3,465,000",Nigerian Used,64129
420,Lexus GS 2007 silver,"2,922,000",242032 km,n/a
421,Lexus ES 2011 White,"4,725,000",Foreign Used,235267
422,Lexus GS 2007 Black,"2,625,000",Nigerian Used,174458
423,Lexus GS 2008 Silver,"3,120,000",Nigerian Used,118366
424,Lexus CT 2012 Gray,"4,515,000",Nigerian Used,201071
425,Lexus RX 330 2006 Black,"3,640,000",Nigerian Used,156704
426,Lexus RX 330 2004 Black,"3,150,000",Nigerian Used,100347
427,Lexus GS 350 4WD 2014 Silver,"8,925,000",Nigerian Used,130372
428,New Lexus GS 350 2007 Silver,"4,200,000",Brand New,220000
429,Lexus RX 350 2008 Gold,"4,472,000",Nigerian Used,132109
430,Lexus ES 2004 silver,"2,922,000",97925 km,n/a
431,Lexus RX 350 2015 Silver,"10,500,000",Nigerian Used,125309
432,Lexus GX 2008 Silver,"3,360,000",Nigerian Used,209116
433,Lexus IS 2008 Silver,"2,940,000",Nigerian Used,269685
434,Lexus RX 350 2014 Red,"8,400,000",Nigerian Used,53558
435,Lexus IS 2006 250 AWD Blue,"2,940,000",Nigerian Used,117301
436,Lexus ES 2003 silver,"1,914,000",109076 km,n/a
437,Lexus RX 2000 Gray,"2,080,000",Nigerian Used,238253
438,Lexus ES 300 2002 Silver,"2,588,000",Nigerian Used,115370
439,Lexus RX 350 2013 Silver,"8,400,000",Nigerian Used,89456
440,Lexus ES 2005 330 Silver,"3,120,000",Nigerian Used,135947
441,Lexus RX 2006 400h AWD Blue,"4,200,000",Foreign Used,369489
442,Lexus RX 2003 Silver,"2,600,000",Nigerian Used,102199
443,Lexus GS 2010 Black,"3,675,000",Foreign Used,127721
444,Lexus RX 350 2009 Silver,"4,784,000",Nigerian Used,1530065
445,Lexus RX 350 2010 Blue,"8,400,000",Foreign Used,120660
446,Lexus GX 2005 Silver,"3,150,000",Nigerian Used,322300
447,Lexus RX 2005 Blue,"3,360,000",Nigerian Used,258030
448,Lexus NX 2018 300 FWD Red,"15,750,000",Nigerian Used,8888
449,Lexus GS 2006 Black,"2,928,000",Nigerian Used,208657
450,Lexus RX 2004 330 Black,"2,940,000",Nigerian Used,97721
451,Lexus ES 2004 Burgandy,"2,600,000",Nigerian Used,229688
452,Lexus RX 350 2007 Black,"4,680,000",Nigerian Used,220726
453,Lexus GS 2008 Blue,"2,625,000",Nigerian Used,280543
454,Lexus GS 2007 350 Black,"2,625,000",Nigerian Used,171560
455,Lexus RX 350 AWD 2008 Black,"3,570,000",Foreign Used,155665
456,Lexus RX 350 2008 Gold,"3,570,000",Nigerian Used,257449
457,Lexus RX 350 2009 Red,"8,840,000",Foreign Used,26690
458,Lexus RX 350 2019 Silver,"21,000,000",Nigerian Used,22033
459,Lexus ES 2004 330 Sedan,"2,940,000",Foreign Used,144353
460,Lexus ES 350 2008 Black,"4,888,000",Foreign Used,299594
461,Lexus LX 2004 Gray,"3,150,000",Nigerian Used,218683
462,Lexus ES 2007 silver,"4,042,000",215685 km,n/a
463,Lexus RX 2001 Gold,"2,600,000",Nigerian Used,181893
464,Lexus RX 350 2008 Silver,"4,472,000",Nigerian Used,230751
465,Lexus IS 2008 black,"3,370,000",133201 km,n/a
466,Lexus ES 2004 330 Sedan Black,"2,496,000",Nigerian Used,195760
467,Lexus GS 2008 Silver,"2,625,000",Nigerian Used,132323
468,Lexus RX 350 2008 Blue,"4,680,000",Nigerian Used,196203
469,Lexus ES 330 Sedan 2004 Silver,"2,600,000",Nigerian Used,245057
470,Lexus GS 2006 black,"2,362,000",126224 km,n/a
471,Lexus IS 2006 Silver,"2,625,000",Nigerian Used,128350
472,Lexus RX 350 2010 Black,"9,360,000",Foreign Used,69183
473,Lexus IS 2008 Black,"3,465,000",Foreign Used,175054
474,Lexus RX 2005 330 4WD Silver,"2,835,000",Nigerian Used,57855
475,Lexus RX 450h 2010 Blue,"8,925,000",Foreign Used,110466
476,Lexus ES 2013,"6,800,000",57143 km,n/a
477,Lexus ES 2005 330 Black,"2,600,000",Nigerian Used,76060
478,Lexus ES 330 Sedan 2004 Blue,"2,600,000",Nigerian Used,298934
479,Lexus ES 350 2007 Black,"3,150,000",Nigerian Used,80676
480,Lexus GS 2003 White,"2,940,000",Foreign Used,95554
481,Lexus RX 2002 Silver,"2,184,000",Nigerian Used,190875
482,Lexus RX 1999 Gold,"1,768,000",Nigerian Used,95671
483,Lexus ES 300 2003 Blue,"2,100,000",Nigerian Used,414724
484,Lexus ES 2002 300 Black,"1,995,000",Nigerian Used,218353
485,Lexus ES 2002 300 Silver,"2,520,000",Foreign Used,194524
486,Lexus RX 350 2008 Blue,"4,200,000",Foreign Used,104049
487,Lexus ES 2006 330 Gray,"2,310,000",Nigerian Used,121412
488,Lexus GS 430 2006 Black,"2,808,000",Nigerian Used,369464
489,Lexus ES 300 2003 Silver,"2,912,000",Foreign Used,279988
490,Lexus ES 2004 Silver,"2,808,000",Nigerian Used,128303
491,Lexus ES 2005 Black,"2,310,000",Nigerian Used,173475
492,Lexus RX 350 FWD 2013 Green,"8,400,000",Nigerian Used,173409
493,Lexus ES 2018 Black,"24,150,000",Foreign Used,17936
494,Lexus GS 350 2007 Blue,"2,520,000",Nigerian Used,103369
495,Lexus RX 350 2008 Blue,"3,570,000",Nigerian Used,186456
496,Lexus IS 2008 Silver,"2,520,000",Nigerian Used,136552
497,Lexus RX 350 2008 Blue,"3,570,000",Nigerian Used,165330
498,Lexus GS 2006 Blue,"2,520,000",Nigerian Used,176236
499,Lexus RX 2001 Gold,"2,288,000",Nigerian Used,120346
500,Lexus ES 2004 Black,"2,940,000",Foreign Used,283523
501,Lexus GX 2004 470 Blue,"2,625,000",Nigerian Used,182267
502,Lexus ES 2007 Beige,"2,625,000",Nigerian Used,111996
503,Lexus ES 2008 black,"2,607,500",109160 km,n/a
504,Lexus ES 2003 Silver,"2,100,000",Nigerian Used,206338
505,Lexus GS 300 AWD 2006 White,"2,835,000",Foreign Used,210836
506,Lexus ES 2004 Silver,"2,200,000",Nigerian Used,147425
507,Lexus ES 2004 330 Sedan Silver,"2,392,000",Nigerian Used,120847
508,Lexus RX 1999 White,"2,080,000",Nigerian Used,404250
509,Lexus ES 2007 350 White,"2,835,000",Nigerian Used,238937
510,Lexus LX 2008 Black,"2,625,000",Nigerian Used,62887
511,Lexus ES 2002 Black,"2,184,000",Nigerian Used,221831
512,Lexus RX 330 2004 Gold,"3,450,000",Nigerian Used,113268
513,Lexus RX 350 2009 Black,"3,585,000",Nigerian Used,156501
514,Lexus SC 2005 430 Convertible Black,"3,150,000",Foreign Used,193535
515,Lexus ES 2005 Red,"2,520,000",Foreign Used,101051
516,Lexus RX 2005 silver,"3,370,000",269051 km,n/a
517,Lexus Rx 350 2008,"3,594,000",211169 km,n/a
518,Lexus RX 450h 2010 Gray,"5,775,000",Nigerian Used,310442
519,Lexus ES 2012 Black,"6,300,000",Foreign Used,12054
520,Lexus RX 1999 Black,"1,976,000",Nigerian Used,197165
521,Lexus ES 330 Sedan 2004 Silver,"2,600,000",Nigerian Used,274088
522,Lexus IS 2006 Black,"2,310,000",Nigerian Used,193684
523,Lexus GS 350 2010 Silver,"3,120,000",Nigerian Used,305623
524,Lexus Es 2012 silver,"8,410,000",59092 km,n/a
525,Lexus ES 2005 300 Silver,"2,600,000",Nigerian Used,97915
526,Lexus GS 2006 300 Automatic Silver,"2,415,000",Nigerian Used,158309
527,Lexus RX 1999 Silver,"1,938,000",Nigerian Used,225668
528,Lexus ES 2002,"2,100,000",Foreign Used,n/a
529,Lexus RX 330 4WD 2005 Silver,"4,515,000",Foreign Used,176454
530,Lexus RX 300 4WD 2001 White,"2,392,000",Nigerian Used,227119
531,Lexus ES 2004 330 Sedan Gray,"1,995,000",Nigerian Used,218279
532,Lexus ES 2005 330 Silver,"2,310,000",Nigerian Used,148435
533,Lexus IS 2010 Red,"7,280,000",Foreign Used,164336
534,Lexus IS 2014 red,"8,500,000",97215 km,n/a
535,Lexus ES 2004 330 Sedan Green,"2,288,000",Nigerian Used,106126
536,Lexus IS 2008 black,"2,586,000",83378 km,n/a
537,Lexus IS 2006 250 AWD Black,"2,310,000",Nigerian Used,214198
538,Lexus RX 2003 Gray,"2,080,000",Nigerian Used,558046
539,Lexus IS 2008 250 Blue,"2,625,000",Nigerian Used,112068
540,Lexus GS 2006 Blue,"2,310,000",Nigerian Used,310182
541,Lexus RX 350 2008 Gray,"5,824,000",Nigerian Used,164490
542,Lexus GS 2006 300 AWD Blue,"2,835,000",Foreign Used,174692
543,Lexus LS 460 L RWD 2008 Black,"2,782,500",Nigerian Used,91195
544,Lexus GS 300 2000 Green,"2,205,000",Foreign Used,213792
545,Lexus ES 2010 blue,"4,490,000",111353 km,n/a
546,Lexus GS 2007 Black,"2,310,000",Nigerian Used,n/a
547,Lexus RX 350 2010 Red,"6,825,000",Nigerian Used,227560
548,Lexus RX 2004 330 Blue,"2,730,000",Nigerian Used,16767
549,Lexus ES 2003 300 Silver,"2,288,000",Nigerian Used,135610
550,Lexus ES 330 Sedan 2004 Silver,"2,288,000",Nigerian Used,360191
551,Lexus IS 350 2007 Black,"2,415,000",Nigerian Used,155619
552,Lexus ES 2002 300 Gold,"2,080,000",Nigerian Used,180360
553,Lexus RX 350 2010 Blue,"5,310,000",Nigerian Used,78708
554,Lexus GS 2008 gray,"4,266,000",191463 km,n/a
555,Lexus IS 350 2007 Black,"2,415,000",Nigerian Used,155619
556,Lexus RX 350 2010 Blue,"5,310,000",Nigerian Used,78708
557,Lexus RX 1999 Gold,"1,575,000",Nigerian Used,2254489
558,Lexus GS 2001 White,"1,890,000",Nigerian Used,191121
559,Lexus ES 2003 300 Silver,"1,995,000",Nigerian Used,191482
560,Lexus ES 2006 Green,"2,100,000",Nigerian Used,79526
561,Lexus RX 1999 300 4WD White,"1,575,000",Nigerian Used,111576
562,Lexus RX 330 4WD 2005 Green,"4,992,000",Nigerian Used,447586
563,Lexus RX 1999 Silver,"1,580,000",Nigerian Used,269345
564,Lexus ES 2002 300 Silver,"1,837,500",Nigerian Used,151015
565,Lexus IS 250 2007 Gold,"2,235,000",Nigerian Used,169679
566,Lexus LX 2000 Black,"1,470,000",Nigerian Used,222631
567,Lexus ES 300 2002 Silver,"1,890,000",Nigerian Used,317078
568,Lexus IS 250 AWD 2007 Black,"2,730,000",Foreign Used,193069
569,Lexus RX 300 4WD 2003 Green,"1,627,500",Nigerian Used,62781
570,Lexus RX 350 2010 Gray,"4,880,000",Nigerian Used,83146
571,Lexus ES 1999 White,"1,680,000",Nigerian Used,143219
572,Lexus ES 2002 Silver,"1,575,000",Nigerian Used,308475
573,Lexus IS 2008 Off white,"2,205,000",Nigerian Used,122797
574,Lexus Rx 350 2006 black,"3,706,000",222062 km,n/a
575,Lexus IS 2007 Black,"2,163,000",Nigerian Used,126851
576,Lexus RX 330 2004 Black,"4,680,000",Nigerian Used,137267
577,Lexus RX 350 2007 Silver,"5,670,000",Foreign Used,120083
578,Lexus RX 1999 Gold,"1,575,000",Nigerian Used,59302
579,Lexus ES 2003 300 Blue,"1,785,000",Nigerian Used,240470
580,Lexus ES 2006 Black,"3,570,000",Foreign Used,305818
581,Lexus RX 350 2007 Black,"6,136,000",Foreign Used,134387
582,Lexus GS 2008 350 Silver,"1,575,000",Nigerian Used,295037
583,Lexus GS 2004 Silver,"3,150,000",Nigerian Used,157417
584,Lexus ES 2004 Black,"1,575,000",Nigerian Used,105915
585,Lexus ES 2002,"1,575,000",Nigerian Used,173011
586,Lexus ES 2003 silver,"2,250,000",79002 km,n/a
587,Lexus ES 2009 Burgandy,"4,836,000",Foreign Used,123275
588,Lexus RX 1999 300 Brown,"1,365,000",Nigerian Used,294332
589,Lexus RX 2000 Gold,"1,365,000",Nigerian Used,368725
590,Lexus ES 350 FWD 2014 Black,"8,400,000",Foreign Used,60754
591,Lexus ES 2002 300 Black,"1,417,500",Nigerian Used,224133
592,Lexus ES 2011 Blue,"4,992,000",Nigerian Used,82773
593,Lexus RX 350 2014 Gold,"7,875,000",Foreign Used,97289
594,Lexus ES 2002 silver,"1,578,000",67845 km,n/a
595,Lexus RX 350 2011 Gray,"9,984,000",Foreign Used,113342
596,Lexus RX 300 4WD 2001 Black,"1,780,000",Nigerian Used,148414
597,Lexus GX 2015 Black,"13,650,000",Foreign Used,57068
598,Lexus RX 350 2007 Blue,"6,460,000",Foreign Used,129693
599,Lexus RX 330 2005 Green,"5,040,000",Foreign Used,244421
600,Lexus RX 2001 300 White,"1,365,000",Nigerian Used,198044
601,Lexus ES 2001 300 Gray,"1,050,000",Nigerian Used,278388
602,Lexus RX 330 2005 Green,"5,040,000",Foreign Used,244421
603,Lexus RX 2008 Silver,"4,160,000",Nigerian Used,165206
604,Lexus LS 460 AWD 2009 Black,"2,370,000",Nigerian Used,127837
605,Lexus RX 330 2005 Gray,"2,330,000",Nigerian Used,313676
606,Lexus ES 2010 Gray,"4,784,000",Nigerian Used,197269
607,Lexus IS 2003 Automatic Gray,"945,000",Nigerian Used,n/a
608,Lexus RX 350 2010 White,"9,880,000",Foreign Used,98929
