,name,price_in_NGN,country,mileage_in_km
76,Lexus GS 350 2008 Black,"2,625,000",Nigerian Used,96265
77,Lexus RX 350 2011 Black,"7,488,000",Nigerian Used,217788
78,Lexus GX 2011 Black,"13,520,000",Nigerian Used,114937
79,Lexus ES 350 2008 Black,"2,415,000",Nigerian Used,135029
80,Lexus ES 2008 Black,"2,730,000",Nigerian Used,156907
81,Lexus RX 1999 Black,"1,470,000",Nigerian Used,240478
82,Lexus ES 2002 Silver,"2,236,000",Nigerian Used,216012
83,Lexus ES 350 2009 Black,"5,200,000",Nigerian Used,255714
84,Lexus ES 2009 White,"3,675,000",Foreign Used,397434
85,Lexus RX 350 2018 Gray,"24,960,000",Foreign Used,33851
86,Lexus ES 2000 White,"1,680,000",Foreign Used,350313
87,Lexus ES 2000 Gray,"1,575,000",Nigerian Used,357459
88,Lexus IS 250 4WD 2014 Black,"14,560,000",Foreign Used,74972
89,Lexus ES 330 Sedan 2004 Black,"1,890,000",Nigerian Used,399389
90,Lexus RX 300 2001 Black,"1,785,000",Nigerian Used,263034
91,Lexus GS 300 AWD 2006 Gray,"2,100,000",Nigerian Used,1706621
92,Lexus RX 350 2009 Gray,"6,552,000",Foreign Used,109771
93,Lexus IS 350 2007 Gray,"3,328,000",Nigerian Used,260450
94,Lexus RX 300 XE Automatic 2005 Blue,"2,625,000",Nigerian Used,106091
95,Lexus IS 2006 Silver,"1,890,000",Nigerian Used,254765
96,Lexus GS 300 Automatic 2006 Gray,"2,415,000",Nigerian Used,150688
97,Lexus RX 350 2007 White,"4,680,000",Nigerian Used,178949
98,Lexus ES 330 2005 Burgandy,"2,704,000",Nigerian Used,83177
99,Lexus ES 350 2011 White,"4,500,000",Nigerian Used,81290
100,Lexus RX 2007 Black,"6,300,000",Foreign Used,181167
101,Lexus IS 250 AWD Automatic 2010 Blue,"7,280,000",Foreign Used,128887
102,Lexus ES 2009 Silver,"6,412,500",Foreign Used,89625
103,Lexus RX 350 2008 Black,"6,525,000",Foreign Used,184378
104,Lexus RX 350 AWD 2014 Black,"9,660,000",Nigerian Used,173102
105,Lexus GS 2004 Black,"3,150,000",Foreign Used,98357
106,Lexus ES 2007 Black,"2,812,500",Nigerian Used,245385
107,Lexus ES 350 2008 Black,"2,812,500",Nigerian Used,134552
108,Lexus GS 2007 Blue,"3,120,000",Nigerian Used,194775
109,Lexus ES 350 2007 Blue,"4,050,000",Nigerian Used,136056
110,Lexus ES 2008 Blue,"3,150,000",Foreign Used,114955
111,Lexus RX 300 2000 Gold,"2,137,500",Nigerian Used,102072
112,Lexus ES 300 2003 Gray,"2,362,500",Nigerian Used,400144
113,Lexus ES 2006 Blue,"2,310,000",Nigerian Used,16204
114,Lexus ES 350 FWD 2013 Silver,"8,944,000",Nigerian Used,129040
115,Lexus ES 2005 Gray,"2,137,500",Nigerian Used,300529
116,Lexus RX 300 4WD 2000 Gray,"1,995,000",Nigerian Used,274020
117,Lexus RX 350 2010 Black,"10,920,000",Nigerian Used,144417
118,Lexus IS 2011 White,"4,410,000",Nigerian Used,250604
119,Lexus RX 2005 Blue,"3,640,000",Nigerian Used,172701
120,Lexus ES 330 2005 Black,"3,375,000",Nigerian Used,123852
121,Lexus ES 350 2010 Gray,"6,187,500",Foreign Used,133081
122,Lexus RX 350 2011 White,"9,562,500",Nigerian Used,29453
123,Lexus RX 350 2012 Gray,"10,125,000",Nigerian Used,82794
